,Date,Open,High,Low,Close,Change,Trend,Gap
0,2016-05-02,16614.0,16674.15,16519.55,16543.0,-71.0,Bearish,Null
1,2016-05-03,16570.75,16719.4,16358.4,16388.7,-182.04999999999927,Bearish,U
2,2016-05-04,16320.1,16465.6,16250.5,16274.25,-45.850000000000364,Bearish,D
3,2016-05-05,16292.4,16398.25,16193.7,16281.0,-11.399999999999636,Bearish,U
4,2016-05-06,16264.45,16346.25,16186.25,16296.6,32.149999999999636,Bullish,D
5,2016-05-09,16357.0,16712.9,16357.0,16686.1,329.09999999999854,Bullish,U
6,2016-05-10,16710.05,16812.2,16613.9,16784.95,74.90000000000146,Bullish,U
7,2016-05-11,16544.25,16861.95,16518.75,16754.45,210.20000000000073,Bullish,D
8,2016-05-12,16881.25,16962.0,16779.5,16923.7,42.45000000000073,Bullish,U
9,2016-05-13,16891.7,16891.7,16594.55,16716.9,-174.79999999999927,Bearish,D
10,2016-05-16,16744.15,16780.05,16431.65,16737.55,-6.600000000002183,Bearish,U
11,2016-05-17,16818.4,16903.35,16738.7,16762.75,-55.650000000001455,Bearish,U
12,2016-05-18,16671.7,16759.05,16556.6,16728.95,57.25,Bullish,D
13,2016-05-19,16725.45,16726.15,16535.75,16565.25,-160.20000000000073,Bearish,D
14,2016-05-20,16600.8,16623.2,16455.4,16481.45,-119.34999999999854,Bearish,U
15,2016-05-23,16560.15,16604.15,16368.0,16407.55,-152.60000000000218,Bearish,U
16,2016-05-24,16422.35,16501.05,16368.6,16456.65,34.30000000000291,Bullish,U
17,2016-05-25,16600.65,17025.85,16599.05,16997.45,396.7999999999993,Bullish,U
18,2016-05-26,17037.6,17424.05,16971.35,17359.3,321.7000000000007,Bullish,U
19,2016-05-27,17348.35,17543.3,17327.65,17511.8,163.45000000000073,Bullish,D
20,2016-05-30,17580.85,17666.05,17484.8,17520.65,-60.19999999999709,Bearish,U
21,2016-05-31,17615.1,17648.25,17462.2,17620.9,5.80000000000291,Bullish,U
22,2016-06-01,17670.85,17670.85,17392.85,17423.45,-247.39999999999782,Bearish,U
23,2016-06-02,17405.15,17596.4,17350.45,17567.8,162.64999999999782,Bullish,D
24,2016-06-03,17657.2,17762.05,17649.05,17680.8,23.599999999998545,Bullish,U
25,2016-06-06,17710.45,17754.15,17636.9,17671.4,-39.04999999999927,Bearish,U
26,2016-06-07,17796.55,18000.95,17713.35,17948.15,151.60000000000218,Bullish,U
27,2016-06-08,17976.25,17995.8,17855.2,17946.8,-29.450000000000728,Bearish,U
28,2016-06-09,17955.8,17986.15,17801.55,17887.7,-68.09999999999854,Bearish,U
29,2016-06-10,17830.2,18051.5,17815.25,17828.6,-1.6000000000021828,Bearish,D
30,2016-06-13,17620.55,17666.55,17527.55,17593.95,-26.599999999998545,Bearish,D
31,2016-06-14,17698.95,17719.85,17575.95,17672.4,-26.549999999999272,Bearish,U
32,2016-06-15,17746.05,17943.65,17659.6,17917.9,171.85000000000218,Bullish,U
33,2016-06-16,17827.6,17827.6,17545.8,17671.3,-156.29999999999927,Bearish,D
34,2016-06-17,17772.3,17843.15,17590.75,17696.05,-76.25,Bearish,U
35,2016-06-20,17425.8,17779.0,17425.8,17718.6,292.7999999999993,Bullish,D
36,2016-06-21,17761.65,17763.3,17585.65,17619.1,-142.5500000000029,Bearish,U
37,2016-06-22,17610.1,17755.25,17518.15,17626.05,15.950000000000728,Bullish,D
38,2016-06-23,17630.8,17907.5,17611.0,17892.45,261.65000000000146,Bullish,U
39,2016-06-24,17213.85,17459.2,16946.35,17426.05,212.20000000000073,Bullish,D
40,2016-06-27,17346.3,17611.2,17346.3,17514.95,168.65000000000146,Bullish,D
41,2016-06-28,17497.0,17626.7,17481.5,17561.55,64.54999999999927,Bullish,D
42,2016-06-29,17643.65,17728.95,17580.5,17689.9,46.25,Bullish,U
43,2016-06-30,17825.3,17975.05,17795.9,17935.4,110.10000000000218,Bullish,U
44,2016-07-01,18019.7,18074.95,17955.3,17985.65,-34.04999999999927,Bearish,U
45,2016-07-04,18091.75,18146.35,18054.8,18097.65,5.900000000001455,Bullish,U
46,2016-07-05,18122.4,18124.1,17989.6,18004.25,-118.15000000000146,Bearish,U
47,2016-07-07,18036.3,18146.55,17997.1,18084.9,48.60000000000218,Bullish,U
48,2016-07-08,18078.05,18079.2,17910.9,18016.25,-61.79999999999927,Bearish,D
49,2016-07-11,18268.15,18409.45,18243.3,18390.95,122.79999999999927,Bullish,U
50,2016-07-12,18527.85,18684.45,18464.15,18667.6,139.75,Bullish,U
51,2016-07-13,18704.9,18711.6,18546.25,18618.95,-85.95000000000073,Bearish,U
52,2016-07-14,18633.5,18880.9,18580.2,18863.75,230.25,Bullish,U
53,2016-07-15,18887.9,19016.1,18772.45,18953.65,65.75,Bullish,U
54,2016-07-18,18998.3,19158.0,18885.0,18923.4,-74.89999999999782,Bearish,U
55,2016-07-19,18970.15,19030.05,18833.6,18905.15,-65.0,Bearish,U
56,2016-07-20,18896.8,19016.25,18886.3,18968.2,71.40000000000146,Bullish,D
57,2016-07-21,18967.4,19000.3,18644.55,18674.3,-293.1000000000022,Bearish,D
58,2016-07-22,18697.8,18735.4,18551.3,18690.4,-7.399999999997817,Bearish,U
59,2016-07-25,18594.95,19035.35,18572.1,18989.6,394.6499999999978,Bullish,D
60,2016-07-26,18979.1,19044.45,18814.25,18860.85,-118.25,Bearish,D
61,2016-07-27,18908.45,19125.0,18882.4,19021.95,113.5,Bullish,U
62,2016-07-28,19050.4,19126.75,18998.8,19076.55,26.149999999997817,Bullish,U
63,2016-07-29,19047.05,19070.15,18912.6,18953.15,-93.89999999999782,Bearish,D
64,2016-08-01,18896.5,19078.5,18634.4,18740.6,-155.90000000000146,Bearish,D
65,2016-08-02,18783.6,18866.55,18671.85,18708.25,-75.34999999999854,Bearish,U
66,2016-08-03,18680.95,18775.4,18542.6,18602.0,-78.95000000000073,Bearish,D
67,2016-08-04,18724.9,18724.9,18443.65,18571.7,-153.20000000000073,Bearish,U
68,2016-08-05,18725.2,18943.15,18708.25,18925.95,200.75,Bullish,U
69,2016-08-08,18986.75,19028.7,18896.0,18939.45,-47.29999999999927,Bearish,U
70,2016-08-09,18968.65,19008.15,18838.6,18933.3,-35.35000000000218,Bearish,U
71,2016-08-10,18966.85,18985.25,18611.25,18647.8,-319.0499999999993,Bearish,U
72,2016-08-11,18621.0,18699.2,18537.1,18640.4,19.400000000001455,Bullish,D
73,2016-08-12,18698.3,18986.8,18695.5,18963.7,265.40000000000146,Bullish,U
74,2016-08-16,19029.1,19062.2,18839.4,19002.15,-26.94999999999709,Bearish,U
75,2016-08-17,19044.55,19138.35,18966.35,19041.25,-3.2999999999992724,Bearish,U
76,2016-08-18,19087.2,19367.45,19083.0,19352.8,265.59999999999854,Bullish,U
77,2016-08-19,19419.0,19457.4,19327.2,19414.7,-4.299999999999272,Bearish,U
78,2016-08-22,19432.6,19493.2,19252.75,19330.25,-102.34999999999854,Bearish,U
